City ID,city,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,country,Date
127,coahuayana,26.08,18.7333,-103.6833,81,93,1.09,MX,1655104140
128,longyearbyen,3.91,78.2186,15.6401,87,75,2.06,SJ,1655104691
129,xuanwu,27.97,32.069,118.8138,40,100,2.2,CN,1655104692
130,kenai,13.9,60.5544,-151.2583,81,0,4.12,US,1655104094
131,simao,24.56,22.7886,100.9748,78,100,1.88,CN,1655104397
132,arlit,35.19,18.7369,7.3853,15,43,4.99,NE,1655104694
133,anloga,26.25,5.7947,0.8973,78,77,5.32,GH,1655104695
134,praia da vitoria,16.53,38.7333,-27.0667,92,32,6.74,PT,1655104418
135,egvekinot,6.8,66.3167,-179.1667,49,100,2.72,RU,1655104312
136,virden,25.05,39.5009,-89.7679,93,84,3.47,US,1655104696
137,carthage,24.74,36.8611,10.3316,41,0,1.54,TN,1655104503
138,lahaina,24.89,20.8783,-156.6825,93,14,5.15,US,1655104698
139,veraval,30.2,20.9,70.3667,69,25,5.99,IN,1655104699
140,sakakah,30.76,29.9697,40.2064,24,0,5.0,SA,1655104700
141,silvan,25.16,38.1419,41.0081,34,0,3.67,TR,1655104701
142,itoman,30.21,26.1247,127.6694,92,75,9.26,JP,1655104702
143,komsomolskiy,26.4,40.4272,71.7189,36,100,1.03,UZ,1655104703
144,pitiquito,32.82,30.7,-112.0833,26,5,0.83,MX,1655104703
145,solnechnyy,26.22,50.7214,136.6319,32,95,4.46,RU,1655104704
146,zeya,16.79,53.75,127.2667,93,100,2.13,RU,1655104705
147,svetlaya,13.66,46.5389,138.3297,75,30,2.88,RU,1655104706
148,smithers,6.18,54.7804,-127.1743,87,0,1.54,CA,1655104706
149,marienburg,18.4,54.0359,19.0266,73,100,0.51,PL,1655104707
150,sterling,23.0,39.0062,-77.4286,93,100,0.45,US,1655104708
151,rumoi,16.63,43.9344,141.6428,78,100,1.88,JP,1655104709
152,ivnya,21.05,51.0629,36.1343,71,1,1.82,RU,1655104710
153,yondo,22.58,7.0062,-73.9097,97,100,0.85,CO,1655104711
154,iqaluit,1.5,63.7506,-68.5145,88,99,4.02,CA,1655104144
155,riviere-au-renard,8.16,48.9957,-64.3971,87,100,3.77,CA,1655104712
156,florence,26.05,43.7667,11.25,56,0,1.54,IT,1655104478
157,tabas,39.12,33.5959,56.9244,14,0,1.03,IR,1655104713
158,high level,11.27,58.5169,-117.136,40,46,1.55,CA,1655104714
159,avrameni,21.7,48.0167,26.95,67,0,3.76,RO,1655104715
160,port hardy,8.11,50.6996,-127.4199,88,62,4.07,CA,1655104317
161,lompoc,18.08,34.6391,-120.4579,88,100,10.73,US,1655104689
162,talnakh,23.03,69.4865,88.3972,34,78,1.89,RU,1655104157
163,harrison,28.04,30.4091,-89.0436,89,20,5.14,US,1655104621
164,onguday,22.62,50.75,86.15,66,100,1.67,RU,1655104169
165,wencheng,36.1,33.0559,113.7978,19,0,3.94,CN,1655104719
166,vardo,7.99,70.3705,31.1107,71,75,6.69,NO,1655104720
167,puerto carreno,22.04,6.189,-67.4859,96,99,0.51,CO,1655104720
168,la seyne-sur-mer,30.51,43.0982,5.8847,69,93,3.13,FR,1655104721
169,churapcha,18.75,62.0025,132.4325,41,100,2.71,RU,1655104722
170,nouakchott,21.96,18.0858,-15.9785,90,13,6.98,MR,1655104723
171,dossor,25.1,47.5272,52.9811,27,0,6.71,KZ,1655104723
172,aasiaat,-0.68,68.7098,-52.8699,89,100,2.06,GL,1655104724
173,arman,11.12,59.7,150.1667,88,98,2.66,RU,1655104154
174,neustadt,17.38,49.7117,12.0872,72,1,2.37,DE,1655104578
175,erenhot,22.29,43.6475,111.9767,31,6,10.41,CN,1655104728
176,chulym,26.09,55.0997,80.9572,48,0,2.84,RU,1655104729
177,rossland,10.51,49.0831,-117.8022,85,100,1.02,CA,1655104729
178,pangnirtung,-3.55,66.1451,-65.7125,90,67,1.42,CA,1655104730
179,north bend,11.07,43.4065,-124.2243,93,100,3.09,US,1655104503
180,zhezkazgan,30.99,47.8043,67.7144,15,75,8.0,KZ,1655104731
181,khandyga,17.56,62.6667,135.6,45,100,2.45,RU,1655104732
182,muli,28.65,2.9167,73.5667,70,51,3.47,MV,1655104423
183,zhuhai,30.88,22.2769,113.5678,89,40,7.2,CN,1655104733
184,hamilton,23.88,39.1834,-84.5333,93,40,3.09,US,1655104735
185,berlevag,6.97,70.8578,29.0864,81,75,8.75,NO,1655104735
186,petatlan,25.37,17.5167,-101.2667,87,99,1.39,MX,1655104736
187,yar-sale,7.35,66.8333,70.8333,76,100,10.93,RU,1655104737
188,hasaki,22.38,35.7333,140.8333,63,86,5.42,JP,1655104738
