City ID,city,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,country,Date
484,kawalu,73.18,-7.3817,108.2082,96,100,1.1,ID,1655120701
485,roebourne,75.02,-20.7833,117.1333,63,0,6.06,AU,1655120704
486,trelew,51.12,-43.249,-65.3051,23,100,9.89,AR,1655120705
487,moerai,75.69,-22.4333,-151.3333,76,93,18.07,PF,1655120706
488,ulundi,80.26,-28.3352,31.4162,13,1,8.72,ZA,1655120707
489,kaniama,90.03,-7.5667,24.1833,24,29,3.69,CD,1655120708
490,nelson bay,48.99,-32.7167,152.15,93,0,4.81,AU,1655120708
491,atambua,71.67,-9.1061,124.8925,82,16,5.75,ID,1655120709
492,san lorenzo,41.94,-25.3333,-57.5333,100,0,0.0,PY,1655120710
493,aitape,79.38,-3.1374,142.3475,82,17,8.23,PG,1655120711
494,kamina,85.95,-8.7386,24.9906,24,9,4.38,CD,1655120712
495,jaicos,83.89,-7.3592,-41.1378,52,3,4.23,BR,1655120714
496,tete,82.49,-16.1564,33.5867,44,40,6.91,MZ,1655120715
497,iquitos,69.84,-3.7481,-73.2472,94,75,3.44,PE,1655120716
498,coracora,43.68,-15.0333,-73.7833,43,2,3.22,PE,1655120717
499,manggar,81.72,-2.8833,108.2667,74,47,6.29,ID,1655120718
